Name,Department,Faculty
Laura Bourrel,French Language Centre,Faculty of Arts
Samantha Damay,French Language Centre,Faculty of Arts
Natallia Liakina,French Language Centre,Faculty of Arts
Ariel Mercado,French Language Centre,Faculty of Arts
Julie Sénat,French Language Centre,Faculty of Arts
Alida Soucé,French Language Centre,Faculty of Arts
Marion Vergues,French Language Centre,Faculty of Arts
